日期,昨日涨跌幅,开盘涨幅,入场价,入场原因,代码,收益_1日,收益_3日,收益_5日,收益_10日,涨跌幅区间
2025-09-22,3.5465116279069786,-0.028074115665355226,35.61,昨日涨跌幅+3.55%，符合2%-7%区间,002138,1.24,2.87,0.42,-3.79,3%~4%
2025-10-14,2.601908065915004,1.4370245139475823,36.0,昨日涨跌幅+2.60%，符合2%-7%区间,002138,1.53,-7.36,-0.0,14.86,2%~3%
2025-10-16,6.664726426076828,1.5552523874488466,37.22,昨日涨跌幅+6.66%，符合2%-7%区间,002138,-10.41,-3.29,-0.12,4.5,5%~7%
2025-10-21,5.201793721973069,-0.028417163967031644,35.18,昨日涨跌幅+5.20%，符合2%-7%区间,002138,1.65,12.57,17.54,7.31,5%~7%
2025-10-22,2.5859619210002904,-0.8587257617728605,35.79,昨日涨跌幅+2.59%，符合2%-7%区间,002138,3.88,17.07,13.3,7.24,2%~3%
2025-10-24,3.95984383714445,1.8240343347639465,37.96,昨日涨跌幅+3.96%，符合2%-7%区间,002138,10.36,6.81,0.33,1.67,3%~4%
2025-10-27,6.491416309012887,4.987405541561696,41.68,昨日涨跌幅+6.49%，符合2%-7%区间,002138,-0.83,-6.71,-7.65,-10.36,5%~7%
2025-10-28,5.793450881612072,-0.4285714285714226,41.82,昨日涨跌幅+5.79%，符合2%-7%区间,002138,-3.08,-8.96,-9.77,-14.08,5%~7%
2025-11-07,3.144490644490649,-1.4109347442680664,39.13,昨日涨跌幅+3.14%，符合2%-7%区间,002138,-4.5,-8.69,-10.89,-13.85,3%~4%
2025-11-19,3.563218390804601,-0.13873473917868084,35.99,昨日涨跌幅+3.56%，符合2%-7%区间,002138,-3.2,-5.09,-2.06,-2.2,3%~4%
