日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2025-09-25,2025,300655,电子化学品,5.64,15.11,15.14,14.84,15.34,15.88,14.81,-2.0,-2.1,止损(-2%),81.8,可交易
2025-09-26,2025,600563,元件,4.5,124.41,124.66,123.67,123.67,125.06,122.6,-0.79,-0.89,收盘卖出,75.0,可交易
2025-09-29,2025,002049,半导体,5.95,87.52,87.7,85.94,87.4,88.79,85.29,-2.0,-2.1,止损(-2%),81.8,可交易
2025-10-09,2025,002049,半导体,3.33,91.8,91.98,90.14,92.78,94.83,89.58,-2.0,-2.1,止损(-2%),71.8,可交易
2025-10-15,2025,600188,煤炭开采加工,2.79,14.39,14.42,14.27,14.27,14.43,14.18,-1.03,-1.13,收盘卖出,70.0,可交易
2025-10-17,2025,600188,煤炭开采加工,3.71,14.8,14.83,15.03,15.03,15.41,14.65,1.35,1.25,收盘卖出,70.8,可交易
2025-10-21,2025,603160,半导体,5.96,87.02,87.19,85.45,86.14,87.2,85.28,-2.0,-2.1,止损(-2%),78.0,可交易
2025-10-27,2025,002138,元件,6.49,41.68,41.76,42.0,42.0,43.67,41.28,0.57,0.47,收盘卖出,78.5,可交易
2025-10-28,2025,002138,元件,5.79,41.82,41.9,41.07,41.45,42.82,40.73,-2.0,-2.1,止损(-2%),80.5,可交易
2025-11-05,2025,688072,半导体,3.19,292.0,292.58,307.21,310.2,314.5,291.0,5.0,4.9,止盈(5%),70.8,可交易
2025-12-04,2025,300576,电子化学品,5.12,40.76,40.84,40.02,39.64,40.95,39.54,-2.0,-2.1,止损(-2%),75.8,可交易
2025-12-09,2025,688025,电子化学品,4.64,158.5,158.82,160.36,160.36,165.01,156.0,0.97,0.87,收盘卖出,73.8,可交易
2025-12-10,2025,600703,通信设备,5.49,13.84,13.87,13.9,13.9,13.98,13.73,0.23,0.13,收盘卖出,74.2,可交易
2025-12-15,2025,300346,电子化学品,4.53,44.0,44.09,46.29,47.05,48.88,43.69,5.0,4.9,止盈(5%),76.5,可交易
2025-12-17,2025,300782,半导体,4.62,74.0,74.15,77.86,78.78,80.7,73.6,5.0,4.9,止盈(5%),73.8,可交易
2025-12-18,2025,688396,半导体,6.65,57.2,57.31,56.17,55.66,57.74,55.66,-2.0,-2.1,止损(-2%),79.2,可交易
2025-12-22,2025,688126,半导体,3.4,23.6,23.65,23.74,23.74,23.99,23.3,0.39,0.29,收盘卖出,75.2,可交易
2025-12-23,2025,688012,半导体,5.89,339.88,340.56,357.59,352.34,358.9,336.68,5.0,4.9,止盈(5%),74.2,可交易
2025-12-24,2025,002371,半导体,3.46,481.0,481.96,481.1,481.1,485.01,477.0,-0.18,-0.28,收盘卖出,75.0,可交易
2025-12-25,2025,002484,元件,6.7,30.81,30.87,30.25,30.42,31.04,30.16,-2.0,-2.1,止损(-2%),75.8,可交易
2025-12-26,2025,600584,半导体,4.3,38.6,38.68,38.44,38.44,38.69,38.06,-0.61,-0.71,收盘卖出,73.2,可交易
2026-01-05,2026,600584,半导体,5.64,41.98,42.06,44.17,43.68,45.28,41.98,5.0,4.9,止盈(5%),77.8,可交易
2026-01-06,2026,688019,电子化学品,4.17,228.0,228.46,239.88,234.22,241.48,227.0,5.0,4.9,止盈(5%),77.5,可交易
2026-01-07,2026,688019,电子化学品,3.18,241.33,241.81,253.9,278.39,281.01,241.33,5.0,4.9,止盈(5%),79.8,可交易
2026-01-08,2026,300398,电子化学品,3.91,24.8,24.85,24.91,24.91,25.58,24.68,0.24,0.14,收盘卖出,79.5,可交易
